900 2
9.284060 3.010668
9.075999 3.125307
9.221716 3.026238
7.792553 -0.196465
7.797215 -0.199892
7.731476 -0.223612
7.450215 -0.179978
7.632213 -0.040735
7.764444 -0.168956
7.541183 -0.102111
7.700051 -0.337919
7.742045 -0.056096
7.726004 -0.127331
9.160611 3.167607
7.594269 -0.170857
7.593614 -0.217132
7.516318 -0.279676
7.675321 -0.267295
7.760187 -0.308613
7.543510 -0.243181
7.730202 -0.218308
7.805416 -0.107472
7.572259 -0.173691
7.759497 -0.166854
9.239729 3.288005
7.593049 -0.400821
7.591223 -0.063204
7.827087 -0.202364
7.633494 -0.130076
7.518703 -0.166419
7.778626 -0.227719
7.765832 -0.395626
7.741352 -0.070412
7.680296 -0.277863
7.838682 -0.073012
9.331339 3.075472
7.552236 -0.316419
7.697512 -0.315983
7.777019 -0.127143
7.633162 -0.199786
7.849974 -0.073182
7.808864 -0.166858
7.624504 -0.097079
7.737236 -0.081862
7.651605 -0.124844
7.604156 -0.225795
9.134182 3.029693
7.628102 -0.320968
7.671120 -0.343603
7.738101 -0.233231
7.508099 -0.231189
7.602003 -0.255877
7.638522 -0.066352
7.699945 -0.116404
7.948909 -0.112379
7.663750 -0.029279
7.886608 -0.198433
9.263689 3.021278
7.671384 -0.268138
7.478707 -0.238258
7.676777 -0.295364
7.424330 -0.247907
7.761859 -0.126031
7.765214 -0.115092
7.734069 -0.324220
7.601129 -0.068111
7.750586 -0.135122
7.696742 -0.055044
9.233809 3.200209
7.530909 -0.275419
7.541436 -0.439772
7.494829 -0.104647
7.619910 -0.067501
7.496373 -0.211485
7.639758 -0.160569
7.854890 -0.133462
7.661016 0.061736
7.674478 -0.243581
7.701334 -0.049573
9.154619 2.972828
7.677511 -0.224988
7.677932 -0.235505
7.821084 -0.161972
7.628962 -0.220372
7.685748 -0.249487
7.507656 -0.380915
7.587660 -0.098060
7.640045 -0.398136
7.461489 -0.192762
7.510102 -0.145875
9.152676 3.117460
7.700784 -0.132561
7.671329 -0.099896
7.601556 -0.120138
7.686600 -0.387484
7.581554 -0.415911
7.581455 -0.338691
7.497821 -0.229181
7.590382 -0.162858
7.605614 0.070014
7.677169 -0.188802
9.100729 3.192074
7.496347 -0.260837
7.652832 -0.098063
7.732563 -0.169196
7.472667 -0.165499
7.540581 -0.345250
