900 2
17.828939 3.438679
6.318979 -6.777909
17.833622 3.355185
25.326475 6.929077
14.616849 3.309597
21.210167 4.482564
4.022393 -6.299697
18.498079 5.208741
60.834057 44.284027
40.571842 29.512669
15.472013 0.307930
32.164444 17.135521
2.705365 -15.260462
17.953320 3.480647
17.317226 6.118753
46.025818 29.326597
18.021458 4.648195
24.488825 9.119138
45.958351 31.922665
-19.111992 -34.821026
-nan -nan
16.545238 2.590404
-30.549789 -41.608639
-7.348773 -19.417646
2.434422 -10.217018
51.638699 35.556461
49.432533 35.313507
47.470383 32.317322
0.338734 -12.140488
-nan -nan
41.492290 27.239309
25.814840 11.188716
48.312565 33.087448
7.050847 -7.598996
-9.407525 -20.725677
2.181047 -10.355003
25.097618 7.813937
-1.090008 -15.551228
14.849524 3.795193
-nan -nan
-nan -nan
-nan -nan
12.798078 0.913038
-nan -nan
-nan -nan
-nan -nan
17.906656 3.370232
-nan -nan
51.485313 35.405354
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
16.313032 2.663990
-5.402784 -17.599966
-nan -nan
-13.997666 -23.989965
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
1.829075 -10.845325
-nan -nan
-nan -nan
-nan -nan
-14.038936 -24.997566
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
17.500742 3.239101
52.944283 37.328003
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
18.123436 3.521822
-nan -nan
11.994095 -3.694947
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
39.596935 25.972023
-nan -nan
-nan -nan
-nan -nan
5.686523 -2.258168
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
17.612427 3.127381
17.929329 3.445835
14.025466 1.604762
13.905583 1.702545
13.985764 1.426835
14.166843 1.734804
13.892856 1.689497
13.830570 1.622910
13.801151 1.418550
8.467016 -3.963982
13.947817 1.615222
14.065619 1.806844
-25.020060 -35.248196
13.902421 1.594884
14.044022 1.665241
13.727423 1.308116
14.048460 1.732423
13.919267 1.522152
13.957826 1.691679
13.814766 1.562554
13.930268 1.775233
13.884777 1.823184
13.864107 1.500379
11.174754 -2.797400
5.442820 -7.541667
14.072554 1.736343
13.807337 1.502276
13.818905 1.436654
13.647066 1.334331
13.893558 1.581394
-6.378758 -17.719555
13.617922 1.385381
14.143918 1.802695
14.019268 1.599023
17.871939 3.498521
14.037666 1.618829
14.005625 1.511344
13.932640 1.562382
13.813107 1.501994
13.869153 1.419429
-1.144783 -12.725949
9.641241 -2.929125
10.402994 -0.975108
14.203734 1.714639
14.035477 1.711171
17.916882 3.460563
24.883789 11.377976
14.002498 1.569915
13.861063 1.494897
13.955921 1.697326
13.796070 1.486122
14.044717 1.550545
9.372405 -2.795648
14.138285 1.702678
24.140465 12.715678
13.930928 1.518612
17.759762 3.306393
13.866920 1.497706
13.882445 1.475274
14.093918 1.506768
13.860979 1.519984
14.125563 1.501397
13.860371 1.551427
13.768300 1.362177
14.022141 1.622222
13.980712 1.737684
13.982725 1.516150
17.802900 3.330618
13.884186 1.648065
14.115770 1.670587
33.827763 20.883877
13.854841 1.511271
13.889140 1.558657
14.118041 1.616021
14.061567 1.692732
14.076703 1.505016
14.094417 1.695233
13.994946 1.657462
17.619228 3.227824
13.940042 1.528711
14.006954 1.617273
14.087400 1.554556
40.492161 27.844595
14.102974 1.504184
14.175861 1.699629
14.026934 1.505757
13.732608 1.377164
14.206716 1.807726
13.991333 1.627192
27.425394 11.433370
14.008825 1.502738
13.774962 1.554537
13.966287 1.640306
13.922297 1.735314
14.020423 1.470077
14.134365 1.740666
14.024633 1.742236
13.843441 1.479215
13.980121 1.638864
13.797296 1.719572
17.866362 3.365761
-10.555389 -20.616634
9.443759 -2.606588
14.188231 1.839660
14.097060 1.452866
13.924019 1.519134
14.132919 1.758784
13.968981 1.787922
13.995367 1.477822
13.963984 1.637922
13.904293 1.460551
11.592455 -2.436462
17.987232 3.457741
-nan -nan
26.738956 7.951865
23.520830 11.348886
-nan -nan
31.260136 18.600767
15.499846 5.860459
-nan -nan
-nan -nan
-nan -nan
3.256594 -7.782040
-0.085482 -12.922059
-nan -nan
-nan -nan
25.494791 13.491133
-nan -nan
15.977272 6.338805
-nan -nan
3.474990 -4.067920
-nan -nan
-nan -nan
-nan -nan
17.986591 3.492920
-24.314180 -34.302086
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
14.799726 3.217760
-nan -nan
47.504879 32.266781
9.734372 -3.585467
-nan -nan
-nan -nan
-nan -nan
-nan -nan
9.865156 -2.495490
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
18.021166 3.554149
-nan -nan
65.368225 52.070271
-nan -nan
-nan -nan
-nan -nan
15.480493 3.264300
-nan -nan
-nan -nan
-nan -nan
-nan -nan
17.757196 3.323831
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
3.749356 -3.552676
39.289295 25.080853
-nan -nan
-nan -nan
22.935892 8.883294
17.932112 3.559683
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
14.158348 4.817864
-nan -nan
-nan -nan
-0.021314 -13.329216
-nan -nan
-nan -nan
-nan -nan
17.796183 6.088236
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
17.866503 3.341804
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
39.182838 25.002537
-nan -nan
-nan -nan
6.989813 -2.510918
-nan -nan
2.291648 -10.685002
-nan -nan
17.941992 5.915024
10.856337 0.132491
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
17.588041 3.055271
-13.003668 -22.027506
15.337490 6.540407
15.469733 6.713830
15.138223 6.338186
15.438039 6.578233
15.239659 6.341434
8.127678 -1.073666
15.134344 6.423848
15.338568 6.529728
15.480820 6.372695
15.176110 6.426803
17.636623 3.166449
15.340055 6.443662
8.637855 0.011977
15.599756 6.492084
15.250222 6.555834
15.250416 6.438931
15.233987 6.347928
15.224713 6.473930
15.372067 6.458632
15.484292 6.611021
15.423491 6.701455
17.735926 3.375187
15.254347 6.370032
15.149750 6.354550
15.314199 6.539545
15.111662 6.145678
15.472556 6.556376
15.444653 6.621765
-0.475939 -8.927671
-8.288941 -16.976690
15.340706 6.517812
15.333528 6.454062
-3.742596 -15.389440
15.236000 6.350496
15.359984 6.515799
15.452758 6.657903
15.267386 6.467388
15.461014 6.492850
15.292081 6.341077
15.183452 6.343100
15.432224 6.582442
15.262066 6.592323
15.097988 6.236541
1.816023 -10.912663
15.319614 6.283022
15.177203 6.506674
15.309375 6.392232
15.571947 6.715796
-20.104261 -28.463594
15.243470 6.508015
-0.830842 -11.907298
15.394048 6.452090
15.316133 6.502837
15.101542 6.323304
18.011759 3.421000
15.272129 6.376967
15.229571 6.376590
15.248822 6.593887
15.068308 6.215250
-4.597692 -13.483315
15.467750 6.669773
15.419274 6.288314
15.230766 6.470688
15.417212 6.687438
27.877237 19.095953
3.605558 -9.438943
15.240519 6.412076
2.095011 -5.875910
15.295178 6.582588
2.039168 -6.474254
32.324162 23.299427
15.343218 6.604017
15.311726 6.526139
15.243193 6.354081
15.288773 6.495461
21.949728 12.452989
18.088688 3.561292
34.649780 25.842234
15.267074 6.460664
15.423877 6.521269
15.362144 6.750692
15.410115 6.584042
15.192048 6.349478
15.357599 6.749189
15.499566 6.677078
15.708657 6.589651
15.465681 6.293148
17.988361 3.498982
15.471534 6.520868
15.255337 6.314611
15.405315 6.525757
15.312645 6.532047
0.977198 -7.493377
15.005579 6.125855
15.362463 6.333062
15.343614 6.544930
15.448051 6.600751
32.694122 24.189251
17.780159 3.393652
15.331370 6.384326
12.701656 4.947604
