300 2400
0 1 1
0 222 1
0 112 1
0 221 1
0 223 1
0 220 1
0 234 1
0 219 1
0 245 1
0 218 1
0 256 1
0 217 1
0 267 1
0 216 1
0 278 1
0 215 1
1 112 1
1 223 1
1 222 1
1 234 1
1 221 1
1 245 1
1 220 1
1 256 1
1 219 1
1 267 1
1 218 1
1 278 1
1 217 1
1 289 1
1 216 1
2 13 1
2 24 1
2 35 1
2 46 1
2 57 1
2 68 1
2 79 1
2 90 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
5 14 1
6 7 1
6 8 1
6 9 1
6 10 1
6 11 1
6 12 1
6 14 1
6 15 1
7 8 1
7 9 1
7 10 1
7 11 1
7 12 1
7 14 1
7 15 1
7 16 1
8 9 1
8 10 1
8 11 1
8 12 1
8 14 1
8 15 1
8 16 1
8 17 1
9 10 1
9 11 1
9 12 1
9 14 1
9 15 1
9 16 1
9 17 1
9 18 1
10 11 1
10 12 1
10 14 1
10 15 1
10 16 1
10 17 1
10 18 1
10 19 1
11 12 1
11 14 1
11 15 1
11 16 1
11 17 1
11 18 1
11 19 1
11 20 1
12 14 1
12 15 1
12 16 1
12 17 1
12 18 1
12 19 1
12 20 1
12 21 1
13 24 1
13 35 1
13 46 1
13 57 1
13 68 1
13 79 1
13 90 1
13 101 1
14 15 1
14 16 1
14 17 1
14 18 1
14 20 1
14 21 1
14 22 1
15 16 1
15 17 1
15 18 1
15 19 1
15 20 1
15 21 1
15 22 1
15 23 1
16 17 1
16 18 1
16 19 1
16 20 1
16 21 1
16 22 1
16 23 1
16 25 1
17 18 1
17 19 1
17 20 1
17 21 1
17 22 1
17 23 1
17 25 1
17 26 1
18 19 1
18 20 1
18 21 1
18 22 1
18 23 1
18 25 1
18 26 1
18 27 1
19 20 1
19 21 1
19 22 1
19 23 1
19 25 1
19 26 1
19 27 1
19 28 1
20 21 1
20 22 1
20 23 1
20 25 1
20 26 1
20 27 1
20 28 1
20 29 1
21 22 1
21 23 1
21 25 1
21 26 1
21 27 1
21 28 1
21 29 1
21 30 1
22 23 1
22 25 1
22 26 1
22 27 1
22 28 1
22 29 1
22 30 1
22 31 1
23 25 1
23 26 1
23 27 1
23 28 1
23 29 1
23 30 1
23 31 1
23 32 1
24 35 1
24 46 1
24 57 1
24 68 1
24 79 1
24 90 1
24 101 1
24 113 1
24 102 1
25 26 1
25 27 1
25 28 1
25 29 1
25 30 1
25 31 1
25 32 1
25 33 1
26 27 1
26 28 1
26 29 1
26 30 1
26 31 1
26 32 1
26 33 1
26 34 1
27 28 1
27 29 1
27 30 1
27 31 1
27 32 1
27 33 1
27 34 1
27 36 1
28 29 1
28 30 1
28 31 1
28 32 1
28 33 1
28 34 1
28 36 1
28 37 1
29 30 1
29 31 1
29 32 1
29 33 1
29 34 1
29 36 1
29 37 1
29 38 1
30 31 1
30 32 1
30 33 1
30 34 1
30 36 1
30 37 1
30 38 1
30 39 1
31 32 1
31 33 1
31 34 1
31 36 1
31 37 1
31 38 1
31 39 1
31 40 1
32 33 1
32 34 1
32 36 1
32 37 1
32 38 1
32 39 1
32 40 1
32 41 1
33 34 1
33 36 1
33 37 1
33 38 1
33 39 1
33 40 1
33 41 1
33 42 1
34 36 1
34 37 1
34 38 1
34 39 1
34 40 1
34 41 1
34 42 1
34 43 1
35 46 1
35 57 1
35 68 1
35 79 1
35 90 1
35 101 1
35 113 1
35 124 1
36 37 1
36 38 1
36 39 1
36 40 1
36 41 1
36 42 1
36 43 1
36 44 1
37 38 1
37 39 1
37 40 1
37 41 1
37 42 1
37 43 1
37 44 1
37 45 1
38 39 1
38 40 1
38 41 1
38 42 1
38 44 1
38 45 1
38 47 1
38 165 1
39 40 1
39 41 1
39 42 1
39 43 1
39 44 1
39 45 1
39 47 1
39 48 1
40 41 1
40 42 1
40 43 1
40 44 1
40 45 1
40 47 1
40 48 1
40 49 1
41 42 1
41 43 1
41 44 1
41 45 1
41 47 1
41 48 1
41 49 1
41 50 1
42 43 1
42 44 1
42 45 1
42 47 1
42 48 1
42 49 1
42 50 1
42 51 1
43 44 1
43 45 1
43 47 1
43 48 1
43 49 1
43 50 1
43 51 1
43 52 1
44 45 1
44 47 1
44 48 1
44 49 1
44 50 1
44 51 1
44 52 1
44 53 1
45 47 1
45 48 1
45 49 1
45 50 1
45 51 1
45 52 1
45 53 1
45 54 1
46 57 1
46 68 1
46 79 1
46 90 1
46 101 1
46 113 1
46 124 1
46 135 1
47 48 1
47 49 1
47 51 1
47 52 1
47 53 1
47 54 1
47 55 1
48 49 1
48 50 1
48 51 1
48 52 1
48 53 1
48 54 1
48 56 1
48 200 1
49 50 1
49 51 1
49 52 1
49 53 1
49 54 1
49 55 1
49 56 1
49 58 1
50 51 1
50 52 1
50 53 1
50 54 1
50 55 1
50 56 1
50 58 1
50 59 1
51 52 1
51 53 1
51 54 1
51 55 1
51 56 1
51 58 1
51 59 1
51 60 1
52 53 1
52 54 1
52 55 1
52 56 1
52 58 1
52 59 1
52 60 1
52 61 1
53 54 1
53 55 1
53 56 1
53 58 1
53 59 1
53 60 1
53 61 1
53 62 1
54 55 1
54 56 1
54 58 1
54 59 1
54 60 1
54 61 1
54 62 1
54 63 1
55 56 1
55 58 1
55 59 1
55 60 1
55 61 1
55 62 1
55 63 1
55 64 1
56 58 1
56 59 1
56 60 1
56 61 1
56 62 1
56 63 1
56 64 1
